label_id	Cardiovascular system	Midgut	Sensory Motile Cilia	Nervous System	Stem cells	Somatic musculature	Epidermis	Gland cells	Heme/chitin	Anterior nervous system	Enteric nervous system	zero	autofluorescence	most probable cluster
59	5.109962250309545e-18	3.330731221109616e-16	0.02360155915777983	0.9763984328000643	7.955856852028197e-09	1.5795804610250834e-16	4.1856333494744796e-14	5.385804508718879e-16	8.625129991606123e-11	4.727843765361378e-15	1.1987075087739941e-18	4.9390888383587666e-127	0.0	Nervous System
60	5.608302624301682e-13	2.0380035718971114e-14	0.0026216414016982195	0.9973775881135353	4.412669041311376e-08	1.979120209253323e-15	2.163801938540941e-10	5.03035002720578e-11	1.7206790101250631e-09	7.237855524104125e-07	5.845778674876366e-10	1.3991647290691057e-94	0.0	Nervous System
61	1.2145402307085893e-24	3.1957780351169614e-24	1.2481400804414634e-05	0.999987518562718	4.0302192615892347e-14	1.559609238335183e-22	1.4855718389782395e-18	3.1829728731102594e-21	2.2222947076906175e-17	3.6437287087922976e-11	4.988990849748507e-19	4.130580623642977e-178	2.965186514489275e-278	Nervous System
62	0.0008541849524046967	0.0019505272821975944	0.4168028301500997	0.0008176180191489725	0.4548863116896628	5.880480075727484e-05	0.0024018737426547694	0.0144458177744217	0.10683195055770137	2.9408884983321865e-06	0.0009471401424528109	1.678610680690128e-32	0.0	Stem cells
63	0.010512920592409004	0.08647548593607332	0.0004574645055381657	0.0007360180697407528	0.057299807436482324	6.097756878445958e-06	0.23339620766598865	0.46826562619936574	0.137106417697405	2.1814555557524715e-06	0.002042796549077551	0.00369897613548549	0.0	Gland cells
64	0.00041929545802519625	0.0055944315940579335	6.2970678349411665e-06	2.0780866498954818e-06	0.0002902150895689374	1.3943508388161705e-07	0.00040022636555432314	0.0007417001502440672	0.000363423139285643	4.017547144361206e-05	1.548627212569177e-05	0.9921265318701259	0.0	zero
65	0.010512920592409004	0.08647548593607332	0.0004574645055381657	0.0007360180697407528	0.057299807436482324	6.097756878445958e-06	0.23339620766598865	0.46826562619936574	0.137106417697405	2.1814555557524715e-06	0.002042796549077551	0.00369897613548549	0.0	Gland cells
66	0.0022124699806483883	0.01323493007546453	0.0013637416508716295	0.0019860816512660452	0.051556634686149495	1.2291200492947548e-06	0.3161473282686168	0.5651850598233709	0.04620565085661615	4.288842515954001e-06	0.0021025808280452927	4.216385537587293e-09	0.0	Gland cells
67	0.003123611769921691	0.021141590712484205	0.000996703044850665	0.008176490220041768	0.11044150115629374	9.567529691176212e-06	0.15010934457601222	0.5049717461495844	0.19712879718454696	4.079369369037504e-07	0.003900239719234378	4.019199753506341e-13	0.0	Gland cells
68	1.6323624936813269e-06	3.0259892743279802e-06	0.0847637331170246	0.26087073121597737	0.2365343555206621	2.979402063874986e-07	0.003839414243827626	0.09423489828541491	0.31789526834443643	1.7102070525211804e-08	0.0018566258786120889	5.185436166492833e-47	0.0	Heme/chitin
