label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	in_platybrowser_0_1	origin_dir
92	131.60	125.13	142.34	107.52	109.97	102.37	151.91	133.53	150.92	255	1	commissural
93	133.18	124.95	142.41	138.30	88.63	122.18	152.99	133.61	144.32	318	1	commissural
94	133.26	124.73	142.43	141.45	123.92	132.89	143.00	124.86	135.43	17	1	commissural
95	132.35	125.46	142.56	136.38	115.40	130.51	144.94	128.37	144.62	88	1	david
96	134.49	124.18	142.61	129.97	87.95	126.29	153.11	131.08	144.15	281	1	commissural
97	132.84	125.69	142.75	142.54	123.38	100.64	154.76	138.38	139.90	167	1	commissural
98	133.64	124.52	142.86	136.22	98.61	99.94	154.54	138.21	140.75	267	1	commissural
99	133.12	125.48	143.00	131.13	111.03	123.25	148.02	135.44	139.30	156	1	commissural
100	131.32	125.21	143.07	140.72	88.09	128.38	159.45	126.98	142.14	127	1	commissural
101	133.10	125.14	143.16	142.91	124.00	132.68	143.56	125.67	133.43	18	0	david
102	132.69	125.19	143.30	135.24	103.53	125.87	151.20	130.85	142.34	146	1	commissural
103	132.36	124.86	143.37	137.69	113.85	126.89	146.20	128.94	150.80	132	1	commissural
104	132.42	125.49	143.45	137.81	88.89	110.54	154.29	136.51	140.26	184	1	commissural
105	132.54	125.27	143.55	137.15	111.77	131.99	145.15	126.83	138.97	96	1	commissural
106	132.13	124.21	143.66	112.71	116.71	130.26	143.76	125.11	140.51	137	1	commissural
107	148.78	91.64	143.75	143.75	81.14	133.54	146.21	91.64	148.79	62	0	commissural
108	142.91	92.09	143.75	143.75	79.12	133.61	149.78	92.09	146.34	131	0	commissural
109	145.19	94.96	143.75	143.75	94.96	134.31	152.66	124.07	145.19	205	0	commissural
110	141.77	95.79	143.75	143.75	95.79	141.73	149.74	104.61	142.66	37	0	commissural
111	147.43	97.66	143.75	143.75	97.66	103.52	217.73	126.36	148.04	661	0	commissural
112	138.72	98.70	143.80	143.80	98.70	131.01	154.92	113.18	138.72	130	0	commissural
113	132.31	123.61	143.94	122.29	115.82	113.83	158.04	152.95	140.05	371	1	commissural
114	132.58	123.69	144.01	125.51	113.86	123.76	150.68	148.78	148.11	265	1	commissural
115	132.45	123.99	144.04	129.82	119.60	122.64	146.27	147.07	137.21	139	1	commissural
116	132.86	123.85	144.14	141.47	123.21	132.58	144.29	125.42	134.89	27	0	david
117	151.48	96.53	144.22	144.22	96.53	123.47	173.29	103.29	151.48	334	0	commissural
118	104.59	135.66	144.22	144.22	115.29	104.59	178.09	137.20	127.16	167	0	david
119	131.25	122.62	144.26	110.71	114.79	118.67	145.71	138.26	150.02	258	1	commissural
120	132.10	122.49	144.86	133.51	114.25	124.78	145.91	142.71	147.74	134	1	commissural
121	132.12	123.26	145.36	107.85	121.61	125.92	147.20	134.90	134.49	189	1	commissural
122	130.93	124.06	145.38	131.72	122.10	117.57	146.33	139.02	131.95	143	0	commissural
123	131.95	122.75	145.51	142.06	122.53	124.97	146.32	142.28	133.85	80	1	commissural
124	132.16	122.89	145.66	140.91	114.08	130.11	146.86	129.34	150.92	106	1	david
125	132.19	122.73	145.91	135.37	122.19	121.62	163.02	148.18	136.46	169	1	commissural
126	131.78	121.76	146.06	132.48	107.53	118.12	152.73	137.10	133.34	167	1	commissural
127	131.74	123.14	146.06	136.59	104.14	100.17	156.25	136.24	142.35	218	1	commissural
128	147.38	93.65	146.20	143.74	93.65	136.08	150.82	109.92	147.55	91	0	commissural
129	144.09	96.43	146.20	139.98	95.41	137.09	150.82	111.23	144.11	207	0	commissural
130	147.01	98.36	146.44	146.44	90.45	109.76	231.24	121.05	147.01	487	0	commissural
131	129.73	122.98	146.66	83.10	115.41	112.96	155.92	152.48	158.42	718	1	commissural
132	129.34	122.51	146.81	99.41	119.62	128.49	151.18	129.92	146.19	220	0	commissural
133	130.07	121.81	146.84	146.54	115.06	126.27	150.04	122.65	131.22	42	1	commissural
134	129.99	122.14	146.89	146.27	108.97	127.65	147.92	131.28	149.06	112	1	commissural
135	130.29	122.25	146.89	143.97	109.00	129.88	148.98	127.44	148.51	132	1	commissural
136	130.34	122.46	147.09	146.30	118.06	121.71	148.76	141.50	137.92	109	1	commissural
137	130.76	122.40	147.34	141.31	119.45	124.03	151.52	137.01	136.86	128	1	commissural
138	129.93	122.54	147.41	111.20	97.72	124.45	148.05	150.28	146.79	359	1	commissural
